cpf,tipo_inscricao,numero_inscricao,data_admissao,data_encerramento,cbo_codigo,competencia,pendencias
09835841687,CAEPF,49912165585239,2021-06-02,,142205,2024-02,[]
57872982595,CNPJ,69495888794705,2017-06-06,,521110,2025-08,"[""data_inconsistente"", ""ausencia_vinculo"", ""competencia_ausente""]"
49930972896,CNPJ,30913075626368,2023-09-19,,261105,2024-03,"[""dados_incompletos"", ""inscricao_invalida"", ""cbo_invalido""]"
78652785854,CAEPF,73348434437575,2022-07-28,,241205,2024-10,"[""data_inconsistente"", ""inscricao_invalida"", ""competencia_ausente""]"
65240415747,CNPJ,38484219933083,2015-03-23,2017-11-23,411005,2025-04,[]
20826773454,CAEPF,01938026206724,2010-11-03,2014-05-03,142410,2024-04,"[""cbo_invalido"", ""competencia_ausente""]"
88728743152,CAEPF,74205493296685,2011-12-12,,142305,2024-07,"[""cbo_invalido"", ""dados_incompletos""]"
04637454990,CEI,53017426841459,2014-12-15,2016-02-15,422105,2024-06,"[""cbo_invalido"", ""competencia_ausente"", ""inscricao_invalida""]"
83391878519,CNPJ,08839822587139,2020-12-18,2024-02-18,422105,2024-02,"[""competencia_ausente"", ""data_inconsistente"", ""ausencia_vinculo""]"
87406403910,CEI,51801704622656,2020-01-23,,354805,2025-01,"[""data_inconsistente"", ""inscricao_invalida"", ""dados_incompletos""]"
51286823004,CEI,86863375243106,2023-10-17,,354805,2024-01,[]
11907903067,CNPJ,83028439599534,2013-03-19,,142105,2024-08,"[""ausencia_vinculo"", ""inscricao_invalida""]"
92687056856,CEI,24628733427086,2019-05-06,,252505,2025-02,[]
35175183046,CAEPF,99013983735403,2014-04-06,,142305,2025-05,"[""inscricao_invalida"", ""dados_incompletos"", ""competencia_ausente""]"
38546785445,CAEPF,77175355609320,2015-11-07,,142410,2025-08,"[""dados_incompletos"", ""data_inconsistente""]"
53693785477,CEI,25228728080100,2019-04-02,2023-02-02,252210,2024-03,"[""dados_incompletos""]"
87509977008,CAEPF,60084840862118,2013-05-04,2017-02-04,142105,2024-09,"[""competencia_ausente"", ""ausencia_vinculo""]"
56793341016,CEI,68700217659180,2015-02-26,2019-04-26,354805,2025-08,"[""ausencia_vinculo""]"
48902503926,CNPJ,42939685621850,2012-03-11,,261105,2024-03,"[""inscricao_invalida"", ""competencia_ausente"", ""cbo_invalido""]"
04773586629,CAEPF,61943114262655,2012-05-22,2014-06-22,422105,2025-01,"[""dados_incompletos""]"
12678886101,CEI,81995604661839,2021-09-08,2024-03-08,252505,2024-05,"[""competencia_ausente"", ""dados_incompletos""]"
12646471543,CAEPF,79937124065965,2019-11-16,,261105,2025-08,[]
59375265479,CNPJ,56465193982807,2014-09-14,,354120,2024-03,"[""data_inconsistente"", ""competencia_ausente""]"
24342661797,CAEPF,68868058911352,2023-09-29,2027-08-29,214630,2025-02,"[""competencia_ausente"", ""ausencia_vinculo""]"
01438889937,CEI,67982507146112,2017-10-24,,422105,2024-07,"[""competencia_ausente"", ""ausencia_vinculo""]"
77514010512,CAEPF,38282586736226,2018-11-15,2022-08-15,354805,2024-07,"[""competencia_ausente"", ""ausencia_vinculo""]"
33419182553,CEI,14785969691557,2023-11-06,2027-12-06,214505,2024-10,"[""ausencia_vinculo"", ""dados_incompletos"", ""cbo_invalido""]"
13412528669,CNPJ,96627828274225,2020-02-12,,261105,2025-01,"[""dados_incompletos"", ""data_inconsistente""]"
68876767721,CAEPF,03404384279788,2012-07-16,,354120,2025-07,"[""inscricao_invalida"", ""ausencia_vinculo""]"
78361340745,CNPJ,71339596292330,2022-10-15,,354120,2025-09,"[""data_inconsistente"", ""cbo_invalido""]"
49481260422,CNPJ,25367294667116,2021-07-25,,214505,2025-01,"[""cbo_invalido"", ""inscricao_invalida""]"
01751863637,CEI,54589297500170,2012-10-14,,252505,2025-03,"[""dados_incompletos"", ""data_inconsistente""]"
42415415206,CAEPF,43611037129387,2010-03-18,2012-06-18,261105,2024-05,"[""data_inconsistente"", ""dados_incompletos""]"
71361115542,CEI,22189092753269,2019-12-04,,142305,2024-04,[]
19656523413,CAEPF,99940438983640,2015-05-15,,142305,2024-09,"[""ausencia_vinculo"", ""inscricao_invalida"", ""data_inconsistente""]"
55269658271,CNPJ,91043006848666,2011-11-07,,142105,2025-09,[]
14183285691,CEI,63031617990421,2010-04-14,,214505,2024-01,[]
58842524105,CEI,48149177850792,2018-04-01,2022-11-01,142305,2025-08,"[""dados_incompletos""]"
80003075622,CNPJ,86353654195180,2014-01-09,2017-04-09,142205,2025-02,[]
74451870534,CAEPF,49375973832060,2015-03-24,,214630,2024-01,"[""data_inconsistente""]"
64138367024,CNPJ,03865719182619,2022-09-26,2026-09-26,252505,2024-08,"[""competencia_ausente"", ""cbo_invalido""]"
57431329121,CNPJ,77561853747411,2013-07-15,,354120,2025-09,[]
52135680442,CNPJ,67883171210032,2014-06-12,,411005,2024-03,"[""ausencia_vinculo"", ""data_inconsistente""]"
13721510702,CAEPF,66706625324472,2010-10-11,,142410,2024-09,"[""competencia_ausente"", ""inscricao_invalida""]"
70146263838,CNPJ,65787598564205,2023-05-24,2028-02-24,241205,2024-10,[]
78593213348,CAEPF,03965223955905,2022-09-25,,142410,2024-07,"[""inscricao_invalida"", ""cbo_invalido""]"
27010393087,CNPJ,59325250029218,2018-03-09,,411005,2025-02,"[""cbo_invalido"", ""data_inconsistente""]"
22675289539,CNPJ,64422096902959,2014-12-15,,142305,2025-05,[]
13552157043,CNPJ,15410067626765,2022-04-01,,261105,2025-05,"[""data_inconsistente"", ""dados_incompletos"", ""inscricao_invalida""]"
71040541152,CEI,21815997062962,2011-03-15,2012-10-15,252210,2025-02,"[""data_inconsistente"", ""inscricao_invalida"", ""cbo_invalido""]"
44310698720,CEI,06149731032417,2012-08-04,,521110,2025-04,"[""cbo_invalido"", ""ausencia_vinculo"", ""competencia_ausente""]"
25652704774,CNPJ,49021158693806,2021-09-20,,142105,2025-05,"[""competencia_ausente""]"
41608989921,CEI,22332061632945,2011-07-03,2014-12-03,521110,2025-07,"[""inscricao_invalida"", ""competencia_ausente""]"
09986162299,CAEPF,11914856467997,2010-11-03,2013-06-03,252505,2025-09,"[""competencia_ausente"", ""ausencia_vinculo"", ""data_inconsistente""]"
53074505444,CEI,13247546913736,2020-11-12,,261105,2025-01,"[""dados_incompletos"", ""ausencia_vinculo"", ""cbo_invalido""]"
86289023303,CNPJ,70534578610357,2023-04-29,,261105,2025-04,"[""cbo_invalido"", ""dados_incompletos""]"
41406029333,CAEPF,34680072290349,2016-11-07,,214505,2024-10,"[""cbo_invalido"", ""competencia_ausente""]"
43748969108,CAEPF,58994417154544,2016-09-13,2019-12-13,241205,2024-09,"[""competencia_ausente"", ""cbo_invalido"", ""dados_incompletos""]"
07446660993,CEI,38758428241724,2022-07-16,,252505,2024-12,"[""cbo_invalido""]"
34655494717,CNPJ,99917381684602,2013-01-30,,411005,2025-02,"[""dados_incompletos"", ""cbo_invalido""]"
21752500743,CNPJ,92712966667600,2021-12-21,2024-05-21,142205,2024-11,"[""dados_incompletos"", ""ausencia_vinculo"", ""inscricao_invalida""]"
33542168942,CNPJ,04478985625753,2013-09-12,,354805,2025-02,[]
32309821506,CAEPF,48909010016761,2022-04-11,2026-06-11,252505,2024-07,"[""ausencia_vinculo"", ""cbo_invalido"", ""competencia_ausente""]"
18499261891,CEI,11739348356420,2022-04-18,,252210,2025-05,"[""ausencia_vinculo""]"
11972181143,CEI,44701204556110,2010-03-21,,214630,2024-06,"[""inscricao_invalida"", ""cbo_invalido""]"
15521667467,CEI,21202169797296,2018-01-16,,261105,2024-05,"[""ausencia_vinculo"", ""competencia_ausente""]"
70145089935,CAEPF,89163756289002,2021-05-04,,261105,2025-05,"[""competencia_ausente""]"
53540838663,CNPJ,77971775170166,2010-10-21,,142205,2024-04,"[""data_inconsistente"", ""cbo_invalido"", ""dados_incompletos""]"
75503758997,CAEPF,57113055488510,2013-09-06,,261105,2025-02,[]
93316373516,CNPJ,91779827080869,2020-10-31,,241205,2024-06,"[""data_inconsistente""]"
21699586693,CEI,65472269848583,2014-07-04,2018-10-04,354120,2024-12,"[""data_inconsistente""]"
28851587996,CAEPF,84608106200342,2016-06-05,,252505,2024-03,"[""dados_incompletos"", ""inscricao_invalida""]"
05719838638,CAEPF,40666580043973,2018-04-01,,142105,2025-09,[]
34721228160,CEI,48422940572025,2023-05-22,2027-03-22,142410,2024-11,"[""inscricao_invalida"", ""cbo_invalido"", ""ausencia_vinculo""]"
58328182688,CEI,15335554398780,2012-07-28,,422105,2024-09,"[""inscricao_invalida"", ""dados_incompletos"", ""ausencia_vinculo""]"
56164840858,CAEPF,77043581128801,2014-09-23,,241205,2024-08,"[""ausencia_vinculo"", ""dados_incompletos""]"
86120750110,CNPJ,48193466766506,2012-08-27,,214630,2025-09,[]
90158144914,CEI,66072832684245,2010-04-02,,142105,2024-05,[]
09968814353,CEI,82223943129087,2022-04-30,2026-04-30,142305,2024-09,[]
97552314913,CEI,77594929955620,2017-01-09,2018-09-09,214505,2025-03,"[""dados_incompletos"", ""cbo_invalido""]"
77754781291,CEI,28341108099693,2010-10-28,,142105,2025-07,"[""cbo_invalido""]"
63942788165,CAEPF,03928272299275,2010-11-28,2013-12-28,252210,2024-03,"[""ausencia_vinculo""]"
38567700518,CAEPF,44989266591846,2014-12-31,,411005,2024-12,"[""inscricao_invalida"", ""ausencia_vinculo""]"
82723184322,CNPJ,59136517773926,2010-07-03,2011-09-03,142410,2025-08,[]
80920242869,CAEPF,04137977236929,2014-01-29,,142105,2024-09,[]
57991366210,CNPJ,88629127990881,2012-02-03,,252505,2025-09,"[""data_inconsistente""]"
68650863765,CAEPF,91624731498643,2010-02-14,,241205,2024-01,"[""inscricao_invalida""]"
06356512694,CEI,86959463688725,2022-07-17,,354120,2024-11,"[""competencia_ausente"", ""dados_incompletos"", ""ausencia_vinculo""]"
37213865890,CNPJ,60127961143519,2010-11-06,,354805,2025-02,"[""cbo_invalido"", ""inscricao_invalida"", ""ausencia_vinculo""]"
27703843098,CAEPF,39205302146566,2023-02-23,2023-08-23,214505,2024-03,"[""cbo_invalido"", ""inscricao_invalida"", ""data_inconsistente""]"
54393769042,CEI,81818451848947,2018-06-17,,241205,2024-09,"[""data_inconsistente"", ""competencia_ausente""]"
90714163356,CEI,88043416518275,2017-12-06,2021-06-06,354120,2024-07,"[""dados_incompletos"", ""competencia_ausente"", ""data_inconsistente""]"
33433339521,CNPJ,17908075957947,2014-02-07,,354805,2025-06,"[""inscricao_invalida""]"
20867808562,CEI,18750036915594,2014-03-14,,252210,2024-10,"[""cbo_invalido"", ""data_inconsistente"", ""dados_incompletos""]"
76365564729,CNPJ,93143866322702,2019-06-16,,354805,2025-06,"[""competencia_ausente"", ""cbo_invalido""]"
48906120347,CAEPF,17545588450615,2023-08-01,2027-02-01,214630,2025-07,[]
45587716947,CAEPF,22569961125355,2016-07-14,,142410,2025-02,"[""cbo_invalido"", ""inscricao_invalida""]"
87622023413,CNPJ,61117800681149,2013-06-26,2015-12-26,354120,2024-08,[]
47228200557,CEI,84872829979688,2016-12-11,,422105,2025-07,[]
17456424008,CNPJ,54780774064930,2022-04-18,,521110,2025-07,"[""dados_incompletos""]"
66341638944,CAEPF,84631224179749,2021-01-13,2021-08-13,252505,2024-02,"[""dados_incompletos""]"
14427031207,CNPJ,56475705120461,2022-03-08,,252210,2024-09,"[""ausencia_vinculo""]"
36730371837,CEI,45208814743503,2012-07-14,2015-04-14,411005,2024-01,[]
49163009792,CEI,13271950052812,2020-12-10,2024-05-10,241205,2024-12,"[""data_inconsistente"", ""dados_incompletos""]"
06524077848,CAEPF,73928557498218,2013-06-23,,261105,2024-09,"[""ausencia_vinculo"", ""inscricao_invalida""]"
62095935186,CNPJ,87829456511810,2012-11-29,2013-07-29,252210,2024-04,"[""ausencia_vinculo""]"
96789940539,CAEPF,10371705865094,2021-11-12,2022-09-12,261105,2024-11,[]
38113863383,CAEPF,28861957612286,2021-04-27,,252505,2025-06,"[""cbo_invalido"", ""data_inconsistente""]"
85566593983,CEI,84577600490824,2010-02-23,,252210,2024-08,"[""data_inconsistente""]"
48889921075,CNPJ,24593344196931,2017-04-13,,252505,2025-05,"[""data_inconsistente"", ""inscricao_invalida"", ""ausencia_vinculo""]"
94096105566,CNPJ,39060480589258,2014-12-14,2019-01-14,214505,2025-02,"[""inscricao_invalida"", ""data_inconsistente"", ""ausencia_vinculo""]"
36462251790,CAEPF,64168622783769,2014-05-26,,214505,2025-06,[]
14659116655,CNPJ,55904259792703,2014-06-24,,252505,2024-03,[]
03924051477,CNPJ,53833884879206,2023-01-28,,142105,2024-02,"[""cbo_invalido""]"
39407016451,CNPJ,46368157981238,2020-04-09,,214505,2024-01,[]
84576205554,CNPJ,84046084325621,2018-07-29,,214630,2025-09,"[""dados_incompletos"", ""competencia_ausente"", ""data_inconsistente""]"
92649578232,CAEPF,83248262925188,2012-08-27,2017-07-27,354805,2024-05,"[""competencia_ausente"", ""data_inconsistente""]"
47423122099,CEI,99939330517289,2020-07-07,,411005,2024-07,"[""competencia_ausente"", ""dados_incompletos""]"
23306046333,CNPJ,27975736609656,2023-09-19,,142410,2025-08,"[""data_inconsistente"", ""ausencia_vinculo"", ""inscricao_invalida""]"
77038860868,CAEPF,03476447264908,2013-03-11,,214630,2025-04,[]
81298266570,CNPJ,79371452111751,2021-10-01,,214505,2025-06,"[""competencia_ausente""]"
86025922220,CEI,44742123094077,2021-03-08,,142205,2025-09,"[""dados_incompletos""]"
97767199038,CEI,98302205020994,2017-06-05,,142205,2024-04,"[""dados_incompletos""]"
49998279501,CEI,55616814721458,2019-04-13,,214505,2024-08,"[""inscricao_invalida""]"
81794695489,CAEPF,52997877293430,2012-08-26,2016-06-26,241205,2024-04,"[""inscricao_invalida""]"
66055830344,CNPJ,44885015569902,2014-05-09,,411005,2025-05,"[""data_inconsistente""]"
27278576084,CAEPF,58803955124056,2021-12-25,,142410,2025-09,"[""ausencia_vinculo"", ""cbo_invalido"", ""inscricao_invalida""]"
04617357438,CEI,21503178078235,2020-11-04,,142105,2024-11,"[""ausencia_vinculo""]"
82307681040,CAEPF,91570184094353,2014-04-27,2017-08-27,411005,2025-03,"[""dados_incompletos"", ""data_inconsistente""]"
41098813858,CEI,42493214958702,2010-08-26,,214630,2024-02,[]
01662997954,CEI,38179217174773,2015-01-08,2018-10-08,354120,2025-01,"[""data_inconsistente"", ""cbo_invalido"", ""inscricao_invalida""]"
77017157724,CEI,99281615814876,2023-03-31,,142410,2024-09,"[""competencia_ausente"", ""ausencia_vinculo""]"
53966958321,CAEPF,97199758172461,2023-06-02,2028-04-02,142410,2025-01,"[""data_inconsistente"", ""ausencia_vinculo"", ""inscricao_invalida""]"
32902278469,CAEPF,73354946519098,2019-01-25,,261105,2024-10,[]
80085140369,CEI,56666832723865,2019-05-11,2023-05-11,252505,2024-05,[]
02762126796,CAEPF,27868765326909,2021-03-04,,252210,2025-05,"[""inscricao_invalida"", ""cbo_invalido"", ""ausencia_vinculo""]"
09751971284,CEI,81891371894905,2021-12-31,,422105,2025-04,"[""inscricao_invalida"", ""cbo_invalido""]"
65442094940,CAEPF,79290490471281,2016-03-26,2019-12-26,354120,2024-10,"[""data_inconsistente""]"
19292752437,CNPJ,80512927663723,2022-12-16,,411005,2024-02,"[""ausencia_vinculo""]"
27674783667,CEI,28604765801856,2023-09-11,,261105,2024-10,"[""ausencia_vinculo"", ""cbo_invalido""]"
96739385258,CNPJ,01061817534430,2010-07-14,,142205,2025-08,"[""inscricao_invalida""]"
11192692124,CEI,71746542140665,2011-05-08,2016-03-08,354120,2024-07,"[""dados_incompletos"", ""inscricao_invalida""]"
62712863917,CAEPF,41011947072006,2015-12-23,2018-03-23,354805,2025-02,"[""data_inconsistente"", ""competencia_ausente"", ""inscricao_invalida""]"
66183067198,CEI,54601585174328,2010-11-19,,214630,2024-07,"[""ausencia_vinculo"", ""cbo_invalido""]"
71732030937,CEI,18478700505061,2014-10-01,,214630,2025-06,"[""inscricao_invalida"", ""dados_incompletos"", ""data_inconsistente""]"
10270790320,CNPJ,04179291117993,2011-06-01,,521110,2024-12,"[""data_inconsistente"", ""competencia_ausente"", ""cbo_invalido""]"
19825309251,CNPJ,42625827390219,2018-06-09,,142205,2025-05,[]
02194672324,CAEPF,76329092791456,2010-02-07,,252210,2024-04,"[""inscricao_invalida""]"
58837340312,CAEPF,77220054364597,2010-12-21,2011-09-21,354805,2025-07,[]
07811379956,CNPJ,53153136363179,2020-11-12,2023-08-12,252505,2024-08,"[""dados_incompletos"", ""competencia_ausente""]"
52735435209,CNPJ,42177625349292,2022-12-19,,261105,2024-08,[]
87397740633,CEI,69392906007806,2021-11-29,,241205,2024-04,"[""ausencia_vinculo""]"
80632543107,CAEPF,42799077262570,2011-08-03,,214505,2024-12,"[""competencia_ausente"", ""cbo_invalido""]"
98931950850,CNPJ,65790552818325,2015-05-09,,214630,2025-05,"[""data_inconsistente"", ""dados_incompletos"", ""inscricao_invalida""]"
55486401557,CEI,88178847951371,2011-10-19,,252505,2024-10,"[""ausencia_vinculo""]"
24127238046,CAEPF,82756704310385,2019-03-27,,214630,2024-11,"[""data_inconsistente"", ""inscricao_invalida"", ""competencia_ausente""]"
74924243754,CNPJ,25472928422223,2012-08-15,2014-10-15,142410,2024-05,"[""dados_incompletos"", ""data_inconsistente""]"
80552578284,CNPJ,06727520885474,2022-11-13,,241205,2025-08,"[""cbo_invalido"", ""ausencia_vinculo""]"
70281406937,CEI,15093983430187,2011-12-17,,521110,2024-07,"[""inscricao_invalida"", ""data_inconsistente"", ""ausencia_vinculo""]"
56265650455,CEI,78137674266299,2011-12-07,2014-01-07,422105,2025-06,"[""inscricao_invalida""]"
61064628792,CNPJ,26487049478730,2010-01-21,2012-02-21,214630,2025-04,[]
46273014719,CAEPF,59796471589042,2023-01-17,2025-03-17,422105,2024-05,"[""cbo_invalido""]"
56504481832,CNPJ,92855445189520,2013-01-26,,411005,2025-05,"[""ausencia_vinculo""]"
32833898881,CEI,71120754527985,2013-11-11,,142205,2024-05,[]
23423216110,CEI,60310890714014,2010-03-26,,241205,2024-05,"[""inscricao_invalida""]"
32501249552,CAEPF,93891190833428,2010-02-05,,142305,2024-08,"[""competencia_ausente"", ""cbo_invalido"", ""dados_incompletos""]"
71256638361,CEI,17182754801571,2018-08-19,2022-04-19,214505,2024-11,"[""dados_incompletos"", ""inscricao_invalida""]"
64631752071,CEI,78112669121535,2014-06-29,,521110,2024-05,[]
67499465796,CEI,84271147732010,2011-07-13,,142205,2024-07,"[""cbo_invalido"", ""dados_incompletos"", ""data_inconsistente""]"
99118773477,CAEPF,48588006167567,2020-04-23,2021-09-23,142105,2024-11,"[""competencia_ausente""]"
62467197889,CEI,78280647969545,2011-05-19,2012-01-19,252505,2025-01,"[""inscricao_invalida"", ""ausencia_vinculo"", ""cbo_invalido""]"
61655650333,CAEPF,49114152085076,2022-09-28,,521110,2024-09,[]
79056965917,CNPJ,35785294563718,2014-10-20,2015-07-20,354120,2025-08,"[""inscricao_invalida""]"
19195419876,CNPJ,51484685366498,2020-03-01,,142105,2024-07,"[""data_inconsistente"", ""inscricao_invalida"", ""dados_incompletos""]"
97374896908,CNPJ,57232466513644,2013-08-08,2017-04-08,252210,2025-02,[]
23034778660,CNPJ,24204482070015,2023-06-30,2024-04-30,354805,2025-02,"[""data_inconsistente"", ""ausencia_vinculo"", ""competencia_ausente""]"
23198189847,CNPJ,39155963632123,2016-02-28,,354120,2025-08,[]
85158673425,CEI,54090034864518,2015-04-21,,521110,2024-01,"[""cbo_invalido"", ""data_inconsistente""]"
13432756041,CEI,76561248156985,2020-03-02,,241205,2024-02,"[""data_inconsistente""]"
72063459112,CNPJ,82965772429543,2011-11-23,,252505,2025-02,"[""dados_incompletos"", ""ausencia_vinculo"", ""inscricao_invalida""]"
89317342069,CEI,94215291086771,2015-01-13,,252210,2024-09,"[""competencia_ausente"", ""dados_incompletos""]"
63934362620,CEI,43973597107256,2014-10-05,,214505,2025-03,"[""ausencia_vinculo"", ""data_inconsistente""]"
80053759900,CEI,89646528092428,2021-01-20,,354805,2025-04,[]
58624150274,CAEPF,56449485625728,2019-11-14,2021-02-14,142205,2024-08,[]
74276170758,CEI,77121513422849,2023-02-19,2023-08-19,142105,2025-08,[]
13715041659,CNPJ,52017774905097,2017-04-15,,214505,2025-08,[]
04501896164,CNPJ,36103266421476,2016-12-15,,142410,2024-05,"[""cbo_invalido""]"
83776749961,CEI,59266108573278,2021-10-08,2024-09-08,521110,2024-03,"[""cbo_invalido"", ""dados_incompletos""]"
24386490810,CAEPF,18661794549180,2012-07-22,,422105,2024-07,"[""ausencia_vinculo"", ""data_inconsistente""]"
64597794523,CNPJ,19416800610277,2019-02-01,,214505,2025-09,"[""inscricao_invalida"", ""data_inconsistente""]"
56412203103,CNPJ,37236831472760,2012-08-12,2013-11-12,214505,2025-03,"[""ausencia_vinculo"", ""competencia_ausente""]"
93349605016,CEI,79984076789973,2011-05-13,,521110,2025-08,"[""cbo_invalido""]"
