investor_id,type,name,document,email,phone_number,kyc_status,suitability_profile,preferred_payout_method,status,primary_wallet_id,created_at,updated_at,trace_id
98461a0f-0c41-404e-93fe-085d910b532a,pf,Ricardo Lima Araujo,30606292201,ricardo.lima.araujo.11@yahoo.com.br,"5,52894E+12",approved,conservative,pix,active,a614a823-5b7d-4507-9215-2bde678c7726,2025-10-04T12:00:00,2025-10-04T12:00:00,seed-inss-based
f41f3176-090b-404b-8919-316b1b92be8f,pf,Eduardo Santana Moreira,36275451887,eduardo.santana.moreira.12@yahoo.com.br,"5,52791E+12",approved,conservative,pix,active,fc5240ae-c03a-4991-8d89-e31574e347b2,2025-10-04T12:00:00,2025-10-04T12:00:00,seed-inss-based
e6829e93-093c-4b9a-8bf7-6c4b3b201455,pf,Matheus Castro,93894879584,matheus.castro.13@outlook.com,"5,57196E+12",approved,moderate,pix,active,5a43301a-71be-499e-968f-7f35d715b5f2,2025-10-04T12:00:00,2025-10-04T12:00:00,seed-inss-based
a61da3b8-c913-4ca4-96fb-87e98352bed8,pf,Diego Silva,84568180530,diego.silva.14@mail.com,"5,54493E+12",approved,moderate,pix,active,7a3aa35b-1723-46e9-b306-b6d4dc327d87,2025-10-04T12:00:00,2025-10-04T12:00:00,seed-inss-based
9eb911eb-80ae-416e-b872-034c784b0c5d,pf,Bianca Santos Martins,42284834906,bianca.santos.martins.15@gmail.com,"5,59199E+12",approved,conservative,pix,active,582170b5-0440-4912-b10c-f586bcb8a876,2025-10-04T12:00:00,2025-10-04T12:00:00,seed-inss-based
d8e49549-1a1c-4a43-a4f1-423e33c7fd60,pf,Marcelo Almeida,34789696017,marcelo.almeida.16@mail.com,"5,59592E+12",approved,moderate,wallet,active,b1b836fa-852c-4281-a15b-778832ec3bff,2025-10-04T12:00:00,2025-10-04T12:00:00,seed-inss-based
33c00556-ffdd-4b38-a74d-57b54c9bff4f,pf,Renan Almeida,3653429874,renan.almeida.17@mail.com,"5,58497E+12",approved,moderate,pix,active,a221a200-5c36-4f31-929f-48bcb95a7b26,2025-10-04T12:00:00,2025-10-04T12:00:00,seed-inss-based
cfb5edea-025f-4cf9-868b-7388f89f183a,pf,Amanda Rocha Araujo,78133023429,amanda.rocha.araujo.18@yahoo.com.br,"5,54291E+12",pending,conservative,pix,active,dbc9f81a-e855-4cf3-8040-36f13a392730,2025-10-04T12:00:00,2025-10-04T12:00:00,seed-inss-based
2454ac8a-69df-4aa5-ba47-2050ff940dd6,pf,Murilo Castro Ribeiro,77806195122,murilo.castro.ribeiro.19@outlook.com,"5,56992E+12",pending,aggressive,ted,active,01c57a09-632d-4934-b9f4-e52bd27b9ae1,2025-10-04T12:00:00,2025-10-04T12:00:00,seed-inss-based
4ac0a437-dded-417f-89ba-bab145b86334,pf,Larissa Moreira,52368709203,larissa.moreira.20@mail.com,"5,52795E+12",pending,conservative,pix,active,357eadbe-2273-438b-b404-1cfcbf37358a,2025-10-04T12:00:00,2025-10-04T12:00:00,seed-inss-based
